Tail Type : Laser	Fires a beam from the tail toward the mouse	Beam size increased by <color="green">30%</color>	Attack cycle reduced by <color="green">0.5s</color>	Damage increased by <color="green">50%</color>	Attack cycle reduced by <color="green">0.5s</color>	Beam size increased by <color="green">50%</color>	Fires a beam in the <color="green">opposite direction</color> as well
Crawling Mushroom	Approach nearby enemies and summon exploding mushrooms.	Explosion range increased by <color="green">20%</color>	Damage increased by <color="green">30%</color>	The number of mushrooms becomes <color="green">2</color>	Attack cycle reduced by <color="green">20%</color>	Explosion range increased by <color="green">20%</color>	The number of mushrooms becomes <color="green">3</color>
Mike	Fires a sound wave forward, knocking back enemies.	Damage increase by <color="green">20%</color>	Range increased by <color="green">30%</color>	Knockback increases by <color="green">20%</color>	Attack cycle reduced by <color="green">33%</color>	Damage increased by <color="green">20%</color>	Range increases by <color="green">20%</color> and <color="green">slows down</color>speed
Devil's tail	Stabs the nearest enemy with its tail.	Damage increase by <color="green">20%</color>	Knockback increases by <color="green">20%</color>	Attack cycle reduced by <color="green">33%</color>	Range increases by <color="green">20%</color> and Damage increased by <color="green">20%</color>	Attack cycle reduced by <color="green">33%</color>	Range increases by <color="green">30%</color>
Eternity Flame	Fires Eternity Flame in a random direction.	Damage increases by <color="green">20%</color>	Fires <color="green">2</color> flames.	Attack cycle reduced by <color="green">33%</color>	Attack speed increases by <color="green">25%</color> and damage increases by <color="green">20%</color>	Attack cycle reduced by <color="green">50%</color>	Fires <color="green">4</color> flames.
Ikumin transmitter	Creates a Ikumin Ufo that rotates around the character.	The number of IkuminUFO created is increased by <color="green">1</color>	Damage increases by 30%, duration increases by <color="green">1s</color>	The number of IkuminUFO created is increased by <color="green">1</color>	Damage increases by <color="green">30%</color>, rotation speed increases by <color="green">1.5 times</color>	The number of IkuminUFO created is increased by <color="green">1</color>	Damage increases by <color="green">40%</color>
Snake Chakram	Creates a chakram that rotates around the character.	Size increased by <color="green">20%</color> and Damage increase by <color="green">20%</color>	Attack cycle reduced by <color="green">33%</color>	Size increased by 30% and Damage increase by <color="green">30%</color>	Duration increased by <color="green">1s</color>	Size increased by <color="green">50%</color>	Damage increases by <color="green">50%</color>
Rain boots	Creates a puddle of water around you and inflicts continuous damage to enemies.	Size increased by <color="green">10%</color>	Damage increased by <color="green">30%</color>	Size increased by <color="green">15%</color>	Damage increased by <color="green">30%</color>	Size increased by <color="green">25%</color>	<color="green">Slows down</color> enemy speed.
Trick Card	Install a card in a random location, and the card inflicts continuous damage to the enemy.	Size increased by <color="green">20%</color>	The number of cards installed becomes <color="green">2</color>	Damage increased by 30% and Duration increased by <color="green">1s</color>	Damage increased by <color="green">30%</color>	The number of cards installed becomes <color="green">3</color>	The number of cards installed becomes <color="green">4</color>, and Size increased by <color="green">20%</color>
Hyper Optic…Cube	Cube is created around you to push enemies away.	Size increased by <color="green">15%</color>	Duration increased by <color="green">1s</color>	Size increased by <color="green">15%</color>	Damage increased by <color="green">30%</color>	Attack cycle reduced by <color="green">1s</color>	Number of rotating cubes increased to <color="green">2</color>
Clock hat	Every 30s, when get hit, it becomes invincible for <color="green">3s</color>.	0	0	0	0	0	0
