0	Ikumin	30	5	2	0.125	0.183	0	-0.03
1	Octagon	50	5	2	0.14	0.17	0.026	-0.03
2	TimeKeeper	75	5	2	0.17	0.215	-0.005	0.005
3	Kalutists1	100	6	2	0.134	0.127	0.022	-0.02
4	Mezzo	120	6	3	0.12	0.1285	0.02	-0.005
5	Yuragumi1	150	6	2	0.152	0.142	-0.001	-0.064
6	Ikumin-Red	180	7	3	0.148	0.186	-0.017	0.03
7	Wat-ai	200	7	3	0.16	0.15	0	0.024
8	Rkangels	225	7	4	0.139	0.131	0	0.025
9	Kalutists2	250	8	3	0.139	0.12	0.026	-0.019
10	Mezzo-Red	275	8	4	0.146	0.141	0.012	-0.002
11	Yuragumi2	300	8	3	0.152	0.143	-0.002	-0.064
12	Penpals	350	9	3	0.16	0.165	0.023	-0.018
